7796119922 | all_in_01 | [{'name': 'Heart', 'is_emoji_gift': True, 'stars_price': 15, 'id': 513}, {'name': 'Bottle', 'is_emoji_gift': True, 'stars_price': 50, 'id': 514}]
7796119922 | all_in_01 | [{'name': 'Bear', 'is_emoji_gift': True, 'stars_price': 15, 'id': 515}, {'name': 'Bear', 'is_emoji_gift': True, 'stars_price': 15, 'id': 516}, {'name': 'Bear', 'is_emoji_gift': True, 'stars_price': 15, 'id': 517}]
7796119922 | girls_collection | [{'name': 'Ring', 'is_emoji_gift': True, 'stars_price': 100, 'id': 518}, {'name': 'Lush Bouquet', 'is_emoji_gift': False, 'stars_price': 600, 'id': 519}, {'name': 'Berry Box', 'is_emoji_gift': False, 'stars_price': 850, 'id': 520}]
6529588448 | mens_collection | [{'name': 'Spiced Wine', 'is_emoji_gift': False, 'stars_price': 525, 'id': 521}, {'name': 'Top Hat', 'is_emoji_gift': False, 'stars_price': 1925, 'id': 522}, {'name': 'Spiced Wine', 'is_emoji_gift': False, 'stars_price': 525, 'id': 523}]
6529588448 | mens_collection | [{'name': 'Swag Bag', 'is_emoji_gift': False, 'stars_price': 450, 'id': 524}, {'name': 'Snoop Dogg', 'is_emoji_gift': False, 'stars_price': 400, 'id': 525}, {'name': 'Ring', 'is_emoji_gift': True, 'stars_price': 100, 'id': 526}]
7796119922 | girls_collection | [{'name': 'Berry Box', 'is_emoji_gift': False, 'stars_price': 850, 'id': 527}, {'name': 'Valentine Box', 'is_emoji_gift': False, 'stars_price': 925, 'id': 528}, {'name': 'Bunny Muffin', 'is_emoji_gift': False, 'stars_price': 750, 'id': 529}]
7796119922 | girls_collection | [{'name': 'Bunny Muffin', 'is_emoji_gift': False, 'stars_price': 750, 'id': 530}, {'name': 'Ring', 'is_emoji_gift': True, 'stars_price': 100, 'id': 531}, {'name': 'Bunny Muffin', 'is_emoji_gift': False, 'stars_price': 750, 'id': 532}]
8219430546 | all_in_01 | [{'name': 'Rocket', 'is_emoji_gift': True, 'stars_price': 50, 'id': 533}]
7796119922 | girls_collection | [{'name': 'Berry Box', 'is_emoji_gift': False, 'stars_price': 850, 'id': 534}, {'name': 'Berry Box', 'is_emoji_gift': False, 'stars_price': 850, 'id': 535}, {'name': 'Eternal Rose', 'is_emoji_gift': False, 'stars_price': 3000, 'id': 536}]
7796119922 | girls_collection | [{'name': 'Sakura Flower', 'is_emoji_gift': False, 'stars_price': 1025, 'id': 537}, {'name': 'Ring', 'is_emoji_gift': True, 'stars_price': 100, 'id': 538}, {'name': 'Eternal Rose', 'is_emoji_gift': False, 'stars_price': 3000, 'id': 539}]
8219430546 | all_in_01 | [{'name': 'Bottle', 'is_emoji_gift': True, 'stars_price': 50, 'id': 540}]
6529588448 | swisswatch | [{'name': 'Xmas Stocking', 'is_emoji_gift': False, 'stars_price': 325, 'id': 541}, {'name': 'Sleigh Bell', 'is_emoji_gift': False, 'stars_price': 1250, 'id': 542}, {'name': 'Sleigh Bell', 'is_emoji_gift': False, 'stars_price': 1250, 'id': 543}]
6529588448 | perfumebottle | [{'name': 'Spiced Wine', 'is_emoji_gift': False, 'stars_price': 525, 'id': 544}, {'name': 'Spiced Wine', 'is_emoji_gift': False, 'stars_price': 525, 'id': 545}, {'name': 'Sakura Flower', 'is_emoji_gift': False, 'stars_price': 1025, 'id': 546}]
8219430546 | all_in_01 | [{'name': 'Heart', 'is_emoji_gift': True, 'stars_price': 15, 'id': 547}, {'name': 'Bear', 'is_emoji_gift': True, 'stars_price': 15, 'id': 548}, {'name': 'Heart', 'is_emoji_gift': True, 'stars_price': 15, 'id': 549}]
6529588448 | perfumebottle | [{'name': 'Spiced Wine', 'is_emoji_gift': False, 'stars_price': 525, 'id': 550}, {'name': 'Love Potion', 'is_emoji_gift': False, 'stars_price': 2000, 'id': 551}, {'name': 'Love Potion', 'is_emoji_gift': False, 'stars_price': 2000, 'id': 552}]
